Organism Group,Name,Name Link,Taxonomy Link,Growth media,Growth Media Links,External Links
Bacterium,Metabacillus fastidiosus DSM 73,https://mediadive.dsmz.de/strains/view/DSM 73,https://mediadive.dsmz.de/taxonomy?level=species&item=Metabacillus fastidiosus,['6'],['https://mediadive.dsmz.de/medium/6'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-73', 'https://bacdive.dsmz.de/strain/666']"
Bacterium,Spirosoma linguale DSM 74,https://mediadive.dsmz.de/strains/view/DSM 74,https://mediadive.dsmz.de/taxonomy?level=species&item=Spirosoma linguale,['7'],['https://mediadive.dsmz.de/medium/7'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-74', 'https://bacdive.dsmz.de/strain/3819']"
Bacterium,Spirosoma linguale DSM 75,https://mediadive.dsmz.de/strains/view/DSM 75,https://mediadive.dsmz.de/taxonomy?level=species&item=Spirosoma linguale,['7'],['https://mediadive.dsmz.de/medium/7'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-75', 'https://bacdive.dsmz.de/strain/3820']"
Bacterium,Metabacillus fastidiosus DSM 76,https://mediadive.dsmz.de/strains/view/DSM 76,https://mediadive.dsmz.de/taxonomy?level=species&item=Metabacillus fastidiosus,['6'],['https://mediadive.dsmz.de/medium/6'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-76', 'https://bacdive.dsmz.de/strain/667']"
Bacterium,Metabacillus fastidiosus DSM 77,https://mediadive.dsmz.de/strains/view/DSM 77,https://mediadive.dsmz.de/taxonomy?level=species&item=Metabacillus fastidiosus,['6'],['https://mediadive.dsmz.de/medium/6'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-77', 'https://bacdive.dsmz.de/strain/668']"
Bacterium,Metabacillus fastidiosus DSM 78,https://mediadive.dsmz.de/strains/view/DSM 78,https://mediadive.dsmz.de/taxonomy?level=species&item=Metabacillus fastidiosus,['6'],['https://mediadive.dsmz.de/medium/6'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-78', 'https://bacdive.dsmz.de/strain/669']"
Bacterium,Metabacillus fastidiosus DSM 82,https://mediadive.dsmz.de/strains/view/DSM 82,https://mediadive.dsmz.de/taxonomy?level=species&item=Metabacillus fastidiosus,['6'],['https://mediadive.dsmz.de/medium/6'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-82', 'https://bacdive.dsmz.de/strain/670']"
Bacterium,Metabacillus fastidiosus DSM 83,https://mediadive.dsmz.de/strains/view/DSM 83,https://mediadive.dsmz.de/taxonomy?level=species&item=Metabacillus fastidiosus,['6'],['https://mediadive.dsmz.de/medium/6'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-83', 'https://bacdive.dsmz.de/strain/671']"
Bacterium,Pseudomonas putida DSM 84,https://mediadive.dsmz.de/strains/view/DSM 84,https://mediadive.dsmz.de/taxonomy?level=species&item=Pseudomonas putida,['1a'],['https://mediadive.dsmz.de/medium/1a'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-84', 'https://bacdive.dsmz.de/strain/12895']"
Bacterium,Azotobacter vinelandii DSM 85,https://mediadive.dsmz.de/strains/view/DSM 85,https://mediadive.dsmz.de/taxonomy?level=species&item=Azotobacter vinelandii,"['3', '441']","['https://mediadive.dsmz.de/medium/3', 'https://mediadive.dsmz.de/medium/441']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-85', 'https://bacdive.dsmz.de/strain/12751']"
