Organism Group,Name,Name Link,Taxonomy Link,Growth Media Links,External Links
Bacterium,Priestia megaterium DSM 32,/strains/view/DSM 32,/taxonomy?level=species&item=Priestia megaterium,"['/medium/1', '/medium/J22']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-32', 'https://bacdive.dsmz.de/strain/733']"
Bacterium,Sporosarcina pasteurii DSM 33,/strains/view/DSM 33,/taxonomy?level=species&item=Sporosarcina pasteurii,['/medium/220?strain=26'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-33', 'https://bacdive.dsmz.de/strain/11981']"
Bacterium,Paenibacillus sp. DSM 34,/strains/view/DSM 34,/taxonomy?level=species&item=Paenibacillus sp.,['/medium/1'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-34', 'https://bacdive.dsmz.de/strain/11528']"
Bacterium,Paenibacillus polymyxa DSM 36,/strains/view/DSM 36,/taxonomy?level=species&item=Paenibacillus polymyxa,"['/medium/1', '/medium/J22']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-36', 'https://bacdive.dsmz.de/strain/11487']"
Bacterium,Comamonas testosteroni DSM 38,/strains/view/DSM 38,/taxonomy?level=species&item=Comamonas testosteroni,"['/medium/1a', '/medium/J22']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-38', 'https://bacdive.dsmz.de/strain/2912']"
Bacterium,Delftia acidovorans DSM 39,/strains/view/DSM 39,/taxonomy?level=species&item=Delftia acidovorans,"['/medium/1a', '/medium/J12', '/medium/J22']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-39', 'https://bacdive.dsmz.de/strain/2941']"
Bacterium,Agromyces mediolanus DSM 40,/strains/view/DSM 40,/taxonomy?level=species&item=Agromyces mediolanus,"['/medium/1', '/medium/J26']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-40', 'https://bacdive.dsmz.de/strain/7264']"
Bacterium,Acidovorax facilis DSM 41,/strains/view/DSM 41,/taxonomy?level=species&item=Acidovorax facilis,['/medium/1'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-41', 'https://bacdive.dsmz.de/strain/2890']"
Bacterium,Serratia marcescens DSM 48,/strains/view/DSM 48,/taxonomy?level=species&item=Serratia marcescens,"['/medium/1', '/medium/92', '/medium/693']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-48', 'https://bacdive.dsmz.de/strain/5138']"
Bacterium,Serratia plymuthica DSM 49,/strains/view/DSM 49,/taxonomy?level=species&item=Serratia plymuthica,['/medium/1'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-49', 'https://bacdive.dsmz.de/strain/5152']"
Bacterium,Clostridium beijerinckii DSM 51,/strains/view/DSM 51,/taxonomy?level=species&item=Clostridium beijerinckii,['/medium/48'],"['https://www.dsmz.de/collection/catalogue/details/culture/DSM-51', 'https://bacdive.dsmz.de/strain/2551']"
Bacterium,Clostridium beijerinckii DSM 53,/strains/view/DSM 53,/taxonomy?level=species&item=Clostridium beijerinckii,"['/medium/104c', '/medium/110a', '/medium/54b', '/medium/J14', '/medium/J84']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-53', 'https://bacdive.dsmz.de/strain/2552']"
Bacterium,Lysinibacillus macroides DSM 54,/strains/view/DSM 54,/taxonomy?level=species&item=Lysinibacillus macroides,"['/medium/1', '/medium/J75']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-54', 'https://bacdive.dsmz.de/strain/1542']"
Bacterium,Hydrogenophaga palleronii DSM 63,/strains/view/DSM 63,/taxonomy?level=species&item=Hydrogenophaga palleronii,"['/medium/1', '/medium/81', '/medium/J22']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-63', 'https://bacdive.dsmz.de/strain/2965']"
Bacterium,Acidovorax delafieldii DSM 64,/strains/view/DSM 64,/taxonomy?level=species&item=Acidovorax delafieldii,"['/medium/830', '/medium/1a']","['https://www.dsmz.de/collection/catalogue/details/culture/DSM-64', 'https://bacdive.dsmz.de/strain/2885']"
